Customer ID,Sales,Profit,Customer_Segment
BH-11710,6255.351,802.7898,High Value
BK-11260,659.1379999999999,-63.764399999999995,Low Value
BM-11140,11789.63,-1659.9580999999998,High Value
BM-11575,808.162,95.58160000000001,Low Value
BM-11650,7294.185,2199.2781,High Value
BM-11785,1338.842,137.7439,Low Value
BN-11470,265.296,36.6131,Low Value
BN-11515,1459.344,340.7054,Low Value
BO-11350,2682.728,278.77700000000004,Medium Value
BO-11425,130.83,59.4522,Low Value
BP-11050,983.42,209.78300000000002,Low Value
BP-11095,2442.044,433.9751,Medium Value
BP-11155,1697.8609999999999,647.3847000000001,Medium Value
BP-11185,3675.861,363.5991,Medium Value
BP-11230,1181.49,-197.2695,Low Value
BP-11290,2475.157,-319.0637,Medium Value
BS-11365,10501.653,2616.0643999999998,High Value
BS-11380,3887.834,-17.532200000000024,Medium Value
BS-11590,2454.928,381.7807,Medium Value
BS-11665,3288.1099999999997,238.73680000000002,Medium Value
BS-11755,2562.382,-113.29840000000003,Medium Value
BS-11800,949.4300000000001,194.0516,Low Value
BT-11305,2567.656,417.5918,Medium Value
BT-11395,2186.6130000000003,257.9163,Medium Value
BT-11440,603.876,-77.5256,Low Value
BT-11485,415.19599999999997,126.8694,Low Value
BT-11530,2684.4919999999997,409.4983,Medium Value
BT-11680,3196.752,447.74839999999995,Medium Value
BV-11245,1523.2730000000001,315.2214,Medium Value
BW-11065,385.516,-58.28659999999999,Low Value
BW-11110,4750.358,921.2574,High Value
BW-11200,1738.406,246.9973,Medium Value
CA-11965,3789.7228,1143.3817,Medium Value
CA-12055,1679.7240000000002,211.2559,Medium Value
CA-12265,2648.2872,279.6183,Medium Value
CA-12310,1421.954,246.02179999999998,Low Value
CA-12775,3041.566,204.48950000000002,Medium Value
CB-12025,6076.139,150.2089,High Value
CB-12415,1949.2,272.3883,Medium Value
CB-12535,4246.4555,1049.5601,High Value
CC-12100,1770.945,208.5912,Medium Value
CC-12145,2471.65,392.2825,Medium Value
CC-12220,3913.418,393.9618,Medium Value
CC-12370,12129.072000000002,2177.0493,High Value
CC-12430,2870.05,424.6583,Medium Value
CC-12475,1659.438,154.851,Medium Value
CC-12550,113.832,33.870599999999996,Low Value
CC-12610,2540.631,331.434,Medium Value
CC-12670,2269.7015,187.8399,Medium Value
CC-12685,2854.1150000000002,850.1591,Medium Value
CD-11920,2033.968,426.661,Medium Value
CD-11980,639.766,-206.7172,Low Value
CD-12280,1205.584,233.0274,Low Value
CD-12790,1860.732,403.8422,Medium Value
CG-12040,904.4680000000001,86.5106,Low Value
CG-12520,1148.7800000000002,169.93439999999998,Low Value
CH-12070,1537.236,195.15109999999999,Medium Value
CJ-11875,16.52,1.652,Low Value
CJ-12010,11164.974,858.7414,High Value
CK-12205,3154.855,141.2831,Medium Value
CK-12325,2945.321,261.22090000000003,Medium Value
CK-12595,2372.75,497.70980000000003,Medium Value
CK-12760,1582.109,-338.4311,Medium Value
CL-11890,1262.0140000000001,328.0847,Low Value
CL-12565,10880.546,1933.7830999999999,High Value
CL-12700,2353.586,229.00990000000002,Medium Value
CM-11815,1673.888,214.463,Medium Value
CM-11935,565.392,-43.732400000000005,Low Value
CM-12115,1661.6100000000001,409.0679,Medium Value
CM-12160,2533.314,-394.3686,Medium Value
CM-12190,1475.144,91.2033,Low Value
CM-12235,2305.712,365.0387,Medium Value
CM-12385,8954.019999999999,3899.8903999999998,High Value
CM-12445,287.99,64.4296,Low Value
CM-12655,6339.5576,1572.4585,High Value
CM-12715,3984.4524,176.3108,Medium Value
CP-12085,5402.254,427.0258,High Value
CP-12340,5888.275,-1850.3029000000001,High Value
CR-12580,2148.852,74.40129999999999,Medium Value
CR-12625,475.9,144.7594,Low Value
CR-12730,1600.55,306.9176,Medium Value
CR-12820,1397.8724,83.27029999999999,Low Value
CS-11845,1278.954,185.3776,Low Value
CS-11860,537.632,105.8275,Low Value
CS-11950,3036.547,-126.4223,Medium Value
CS-12130,884.64,143.8339,Low Value
CS-12175,844.4580000000001,113.1405,Low Value
CS-12250,2754.216,738.3626,Medium Value
CS-12355,3202.1620000000003,831.9432,Medium Value
CS-12400,3651.8585000000003,-342.80330000000004,Medium Value
CS-12460,550.644,156.2593,Low Value
CS-12490,1077.2285,-302.8761,Low Value
CS-12505,5690.054999999999,-6626.389499999999,High Value
CT-11995,3241.898,161.22629999999995,Medium Value
CV-12295,2830.6279999999997,493.0861,Medium Value
CV-12805,2370.3136,98.99749999999999,Medium Value
CW-11905,1136.592,370.8298,Low Value
CY-12745,2900.026,60.64670000000001,Medium Value
Co-12640,1300.076,205.62820000000002,Low Value
DA-13450,156.76,56.7904,Low Value
DB-12910,2171.599,431.3748,Medium Value
DB-12970,2839.2272,213.00289999999998,Medium Value
DB-13060,4531.646,473.0272,High Value
DB-13120,2973.094,-1421.7692,Medium Value
DB-13210,2332.577,169.9679,Medium Value
DB-13270,4655.897,841.8263999999999,High Value
DB-13360,1081.466,291.0085,Low Value
DB-13405,1711.692,438.9092,Medium Value
DB-13555,3908.8028,109.32700000000001,Medium Value
DB-13615,1989.05,438.80119999999994,Medium Value
DB-13660,1155.202,177.67350000000002,Low Value
DC-12850,3336.168,-1441.6312999999998,Medium Value
DC-13285,1174.618,132.06820000000002,Low Value
DD-13570,269.542,36.4344,Low Value
DE-13255,2550.874,464.47139999999996,Medium Value
DF-13135,2390.534,-259.3097,Medium Value
DG-13300,3195.818,562.7761,Medium Value
DH-13075,4932.872,1193.7404,High Value
DH-13675,1043.096,116.667,Low Value
DJ-13420,2012.52,483.03499999999997,Medium Value
DJ-13510,2501.6879999999996,345.2521,Medium Value
DJ-13630,3356.398,731.5644,Medium Value
DK-12835,3256.48,881.1228000000001,Medium Value
DK-12895,4282.176,937.6496,High Value
DK-12985,1687.04,-107.35379999999998,Medium Value
DK-13090,2650.557,536.3935,Medium Value
DK-13150,797.832,249.9447,Low Value
DK-13225,4802.394,209.89940000000004,High Value
DK-13375,3318.486,377.0799,Medium Value
DL-12865,1503.112,322.2449,Medium Value
DL-12925,3272.2,4.213200000000029,Medium Value
DL-13315,1458.258,288.8732,Low Value
DL-13330,585.02,222.6812,Low Value
DL-13495,3539.322,-52.78799999999997,Medium Value
DM-12955,1322.034,108.7583,Low Value
DM-13015,6345.103,1677.3931,High Value
DM-13345,4074.4719999999998,1319.0586,High Value
DM-13525,1376.792,199.7688,Low Value
DN-13690,2139.79,540.5405000000001,Medium Value
DO-13435,1300.0315,-38.90860000000001,Low Value
DO-13645,1267.316,294.0676,Low Value
DP-13000,1050.636,241.4524,Low Value
DP-13105,2215.002,563.1761,Medium Value
DP-13165,1058.616,-40.93759999999999,Low Value
DP-13390,5480.723999999999,1571.8318,High Value
DR-12880,6528.034000000001,1641.8613,High Value
DR-12940,8350.868,2869.0759999999996,High Value
DS-13030,1762.213,193.3319,Medium Value
DS-13180,2881.8128,163.6993,Medium Value
DV-13045,1119.483,-427.184,Low Value
DV-13465,3341.587,353.2127,Medium Value
DW-13195,1080.751,-86.87379999999999,Low Value
DW-13480,5271.628,1348.7556,High Value
DW-13540,344.08,69.6672,Low Value
DW-13585,1204.854,-266.8966,Low Value
Dl-13600,755.602,175.2388,Low Value
Dp-13240,7198.7609999999995,333.36479999999995,High Value
EA-14035,2846.705,-52.74059999999998,Medium Value
EB-13705,3644.978,13.621500000000005,Medium Value
EB-13750,3236.314,-80.28599999999999,Medium Value
EB-13840,4358.128,656.1988,High Value
EB-13870,2767.219,261.5315,Medium Value
EB-13930,944.6000000000001,0.6042000000000058,Low Value
EB-13975,1643.255,162.8781,Medium Value
EB-14110,3071.126,184.7656,Medium Value
EB-14170,1186.326,282.1701,Low Value
EC-14050,461.914,96.4256,Low Value
ED-13885,3484.92,670.4435000000001,Medium Value
EG-13900,1832.02,104.2656,Medium Value
EH-13765,10310.880000000001,1393.5154,High Value
EH-13945,684.1709999999999,53.53980000000001,Low Value
EH-13990,825.9499999999999,150.3759,Low Value
EH-14005,1219.53,-94.14079999999997,Low Value
EH-14125,3082.653,96.27019999999999,Medium Value
EH-14185,923.884,242.1107,Low Value
EJ-13720,2162.174,387.0176,Medium Value
EJ-14155,2656.691,451.87550000000005,Medium Value
EK-13795,1303.478,97.10659999999999,Low Value
EL-13735,124.28,27.1154,Low Value
EM-13810,2567.0099999999998,-133.8275,Medium Value
EM-13825,2339.598,682.5541999999999,Medium Value
EM-13960,933.704,102.29599999999999,Low Value
EM-14065,228.99,40.15459999999999,Low Value
EM-14095,1041.0420000000001,240.2362,Low Value
EM-14140,4588.436000000001,1319.3655,High Value
EM-14200,366.822,21.7721,Low Value
EN-13780,2199.366,496.1131,Medium Value
EP-13915,5478.0608,144.9578,High Value
ER-13855,1245.788,-295.7398,Low Value
ES-14020,3510.4579999999996,1003.2935,Medium Value
ES-14080,4657.924,246.6661,High Value
FA-14230,2984.054,520.5229,Medium Value
FC-14245,3418.742,1217.1662000000001,Medium Value
FC-14335,3889.366,714.2926,Medium Value
FG-14260,1383.144,394.73969999999997,Low Value
FH-14275,4256.272,1073.2676,High Value
FH-14350,2271.284,706.289,Medium Value
FH-14365,6987.196,2050.2826,High Value
FM-14215,2456.638,249.6808,Medium Value
FM-14290,3736.198,198.10949999999997,Medium Value
FM-14380,2523.266,191.4898,Medium Value
FO-14305,2678.438,215.59689999999998,Medium Value
FP-14320,4046.746,406.44730000000004,High Value
FW-14395,79.75,23.491300000000003,Low Value
GA-14515,3919.7760000000003,840.899,Medium Value
GA-14725,1398.382,136.70790000000002,Low Value
GB-14530,1568.44,7.837100000000003,Medium Value
GB-14575,4716.288,1135.8393,High Value
GD-14590,1888.07,230.93729999999996,Medium Value
GG-14650,2224.0,12.698500000000008,Medium Value
GH-14410,2819.4669999999996,-576.8335,Medium Value
GH-14425,4172.8460000000005,1176.4181,High Value
GH-14485,1361.2440000000001,-95.4498,Low Value
GH-14665,146.94080000000002,-5.810200000000001,Low Value
GK-14620,6497.27,1448.5525,High Value
GM-14440,3582.8199999999997,347.266,Medium Value
GM-14455,3078.624,793.2814000000001,Medium Value
GM-14500,1255.682,441.3185,Low Value
GM-14680,3163.628,35.48649999999999,Medium Value
GM-14695,6049.966,188.7235,High Value
GP-14740,236.53,31.837600000000002,Low Value
GR-14560,1284.38,359.83320000000003,Low Value
GT-14635,9351.212,-4108.6589,High Value
GT-14710,11820.119999999999,2163.4269,High Value
GT-14755,226.436,-6.139200000000002,Low Value
GW-14605,2189.019,-268.54229999999995,Medium Value
GZ-14470,4355.150000000001,1087.7539,High Value
GZ-14545,2454.6220000000003,828.661,Medium Value
HA-14905,2163.3,270.8574,Medium Value
HA-14920,2584.158,99.1445,Medium Value
HD-14785,251.36,-135.87599999999998,Low Value
HE-14800,883.5319999999999,274.4028,Low Value
HF-14995,2533.1639999999998,-13.876799999999989,Medium Value
HG-14845,785.628,147.0032,Low Value
HG-14965,3247.642,-2797.9635000000003,Medium Value
HG-15025,3690.284,804.6113,Medium Value
HH-15010,218.668,86.7342,Low Value
HJ-14875,358.1,98.6548,Low Value
HK-14890,4877.784,956.9451,High Value
HL-15040,12873.297999999999,5622.4292000000005,High Value
HM-14860,8236.7648,2437.9836,High Value
HM-14980,736.276,117.2755,Low Value
HP-14815,1990.314,373.8637,Medium Value
HR-14770,1299.288,185.5794,Low Value
HR-14830,5248.787,1196.9504,High Value
HW-14935,9300.254,2164.1611,High Value
HZ-14950,886.52,-130.3879,Low Value
IG-15085,744.574,320.4982,Low Value
IL-15100,5040.736,1121.937,High Value
IM-15055,2872.63,975.7701,Medium Value
IM-15070,4930.474,514.6527,High Value
JA-15970,6491.026,-819.4217000000001,High Value
JB-15400,1791.605,156.05319999999998,Medium Value
JB-15925,900.552,-286.9808,Low Value
JB-16000,644.1188,126.76490000000001,Low Value
JB-16045,2518.115,201.51850000000002,Medium Value
JC-15340,71.263,-0.35560000000000036,Low Value
JC-15385,1058.108,502.92440000000005,Low Value
JC-15775,2772.055,279.56919999999997,Medium Value
JC-16105,858.576,201.5952,Low Value
JD-15790,2152.352,-266.55249999999995,Medium Value
JD-15895,7610.8640000000005,1050.2667999999999,High Value
JD-16015,385.43,26.7605,Low Value
JD-16060,695.442,111.11410000000001,Low Value
JD-16150,8828.0305,1619.5199,High Value
JE-15475,1388.682,276.2197,Low Value
JE-15610,7754.976,1623.4019,High Value
JE-15715,8697.842999999999,1262.2926,High Value
JE-15745,6760.8150000000005,221.79670000000002,High Value
JE-16165,2697.248,789.6476,Medium Value
JF-15190,2279.5860000000002,575.1259,Medium Value
JF-15295,955.124,97.28899999999999,Low Value
JF-15355,1911.844,330.199,Medium Value
JF-15415,2371.448,635.6376,Medium Value
JF-15490,1082.918,-18.06730000000001,Low Value
JF-15565,4198.332,1073.2088,High Value
JG-15115,2358.676,684.1911,Medium Value
JG-15160,6366.392,1415.6664,High Value
JG-15310,2240.58,3.7976000000000063,Medium Value
JG-15805,1507.018,206.1019,Medium Value
JH-15430,309.281,-24.077100000000005,Low Value
JH-15820,528.91,26.082199999999997,Low Value
JH-15910,959.477,-13.554499999999996,Low Value
JH-15985,7954.9980000000005,-644.6982,High Value
JH-16180,2256.3940000000002,-96.95300000000002,Medium Value
JJ-15445,709.178,200.5558,Low Value
JJ-15760,195.0,34.449200000000005,Low Value
JK-15205,4427.142,1219.983,High Value
JK-15325,383.812,55.32769999999999,Low Value
JK-15370,2709.632,330.2838,Medium Value
JK-15625,3760.028,750.9485,Medium Value
JK-15640,4760.434,1172.5303,High Value
JK-15730,4867.2,55.0483,High Value
JK-16090,3747.668,586.6625,Medium Value
JK-16120,2932.484,122.6566,Medium Value
JL-15130,1214.956,-207.79559999999998,Low Value
JL-15175,1571.523,209.2817,Medium Value
JL-15235,2203.7,54.51740000000002,Medium Value
JL-15505,3173.874,591.7163,Medium Value
JL-15835,9799.923,228.907,High Value
JL-15850,2725.256,779.9046,Medium Value
JM-15250,3159.1220000000003,19.82350000000004,Medium Value
JM-15265,1804.146,502.6143,Medium Value
JM-15535,1733.443,356.5395,Medium Value
JM-15580,303.948,113.1204,Low Value
JM-15655,864.947,117.20400000000001,Low Value
JM-15865,7625.076000000001,1574.6163999999999,High Value
JM-16195,2833.9260000000004,754.1144,Medium Value
JO-15145,3254.949,581.4045,Medium Value
JO-15280,1934.272,202.13619999999997,Medium Value
JO-15550,1090.838,167.6709,Low Value
JP-15460,1669.135,429.7465,Medium Value
JP-15520,3635.594,757.1802,Medium Value
JP-16135,1707.71,309.7116,Medium Value
JR-15670,1156.658,-785.1645,Low Value
JR-15700,863.88,107.985,Low Value
JR-16210,2201.686,452.37300000000005,Medium Value
JS-15595,1417.654,-175.54899999999998,Low Value
JS-15685,1131.0639999999999,-54.8692,Low Value
JS-15880,3868.02,564.9798000000001,Medium Value
JS-15940,469.169,-327.9336,Low Value
JS-16030,2516.494,-311.25749999999994,Medium Value
JW-15220,7721.714,2173.7093999999997,High Value
JW-15955,1244.086,-29.575899999999987,Low Value
JW-16075,1428.731,154.06369999999998,Low Value
KA-16525,1519.506,234.9194,Medium Value
KB-16240,3152.6150000000002,763.9076,Medium Value
KB-16315,1569.464,49.71929999999999,Medium Value
KB-16405,908.821,274.297,Low Value
KB-16585,2744.742,579.3551,Medium Value
KB-16600,983.922,293.55240000000003,Low Value
KC-16255,2120.954,846.1217,Medium Value
KC-16540,3908.262,709.4219,Medium Value
KC-16675,1146.05,156.7797,Low Value
KD-16270,8282.358,1107.6952000000003,High Value
KD-16345,1888.964,328.5942,Medium Value
KD-16495,8181.256,3038.6254,High Value
KD-16615,2243.5099999999998,539.7219,Medium Value
KE-16420,1686.7312,397.87989999999996,Medium Value
KF-16285,10604.266,1660.1386,High Value
KH-16330,3312.864,454.7871,Medium Value
KH-16360,3100.612,528.2051,Medium Value
KH-16510,5952.859,656.1162,High Value
KH-16630,3918.9660000000003,727.3786,Medium Value
KH-16690,5990.799,1227.5091,High Value
KL-16555,5016.488,-182.78130000000002,High Value
KL-16645,14175.229000000001,806.855,High Value
KM-16225,2260.958,635.1057000000001,Medium Value
KM-16375,5620.186,973.7901999999999,High Value
KM-16660,453.538,91.1391,Low Value
KM-16720,4909.472,745.7685,High Value
KN-16390,2617.272,-151.1518,Medium Value
KN-16450,2171.962,114.3083,Medium Value
KN-16705,2280.58,329.76250000000005,Medium Value
KS-16300,88.472,0.11099999999999888,Low Value
KT-16465,3057.1,254.0032,Medium Value
KT-16480,4642.088400000001,194.0671,High Value
KW-16435,4416.5199999999995,1756.135,High Value
KW-16570,449.096,107.92699999999999,Low Value
LA-16780,8673.222,2059.1199,High Value
LB-16735,50.188,18.6507,Low Value
LB-16795,4985.676,-52.19099999999998,High Value
LC-16870,2580.7039999999997,-188.25110000000004,Medium Value
LC-16885,7663.126,1288.3469,High Value
LC-16930,4492.946,288.26599999999996,High Value
LC-16960,3246.626,299.48019999999997,Medium Value
LC-17050,2095.064,86.77799999999999,Medium Value
LC-17140,2633.582,231.12520000000004,Medium Value
LD-16855,5.304,0.4641,Low Value
LD-17005,1961.934,557.1714,Medium Value
LE-16810,1469.45,161.76489999999998,Low Value
LF-17185,3930.5089999999996,-3583.977,Medium Value
LH-16750,287.426,12.627699999999999,Low Value
LH-16900,2295.332,526.0727,Medium Value
LH-17020,318.239,-242.73989999999998,Low Value
LH-17155,1739.689,316.5202,Medium Value
LL-16840,2741.2039999999997,560.0078,Medium Value
LM-17065,1346.774,-44.87799999999999,Low Value
LO-17170,644.35,150.1712,Low Value
LP-17080,756.606,110.7813,Low Value
LP-17095,3653.399,338.44539999999995,Medium Value
LR-16915,5142.892,535.4764,High Value
LR-17035,1879.306,-382.8079,Medium Value
LS-16945,2845.27,-318.77369999999996,Medium Value
LS-16975,2988.674,262.63669999999996,Medium Value
LS-17200,1010.2560000000001,244.197,Low Value
LS-17230,368.88000000000005,39.1952,Low Value
LS-17245,1008.1360000000001,348.3584,Low Value
LT-16765,329.876,59.036,Low Value
LT-17110,2936.252,320.973,Medium Value
LW-16825,2238.061,32.5767,Medium Value
LW-16990,3230.308,662.8339000000001,Medium Value
LW-17125,1259.04,192.6312,Low Value
LW-17215,5420.514,837.2411,High Value
MA-17560,4299.161,1240.2266,High Value
MA-17995,2453.284,280.7822,Medium Value
MB-17305,1548.702,212.425,Medium Value
MB-18085,1428.231,117.8057,Low Value
MC-17275,2725.982,461.0014,Medium Value
MC-17425,4432.138,1802.3903,High Value
MC-17575,1303.893,210.7493,Low Value
MC-17590,2426.067,288.98409999999996,Medium Value
MC-17605,2258.192,195.4486,Medium Value
MC-17635,795.154,-247.94350000000003,Low Value
MC-17845,3805.714,698.4174,Medium Value
MC-18100,2218.98,-64.1668,Medium Value
MC-18130,1581.9979999999998,121.7565,Medium Value
MD-17350,3766.382,-241.94999999999996,Medium Value
MD-17860,1204.91,-4.040300000000002,Low Value
ME-17320,10663.728000000001,1859.4695,High Value
ME-17725,1908.4532,77.81280000000001,Medium Value
ME-18010,1256.944,107.3604,Low Value
MF-17665,937.039,-341.52650000000006,Low Value
MF-18250,1758.3,456.86080000000004,Medium Value
MG-17650,3785.276,341.898,Medium Value
MG-17680,2350.188,25.888599999999972,Medium Value
MG-17695,1342.282,-398.79319999999996,Low Value
MG-17875,1242.8329999999999,-470.7684,Low Value
MG-17890,776.384,171.7372,Low Value
MG-18145,3061.543,-93.603,Medium Value
MG-18205,16.739,-1.2453,Low Value
MH-17290,2394.025,28.761200000000038,Medium Value
MH-17440,400.016,61.428599999999996,Low Value
MH-17455,2456.1820000000002,484.77330000000006,Medium Value
MH-17620,1252.8,122.3612,Low Value
MH-17785,2203.7780000000002,238.5614,Medium Value
MH-18025,2984.948,476.9032,Medium Value
MH-18115,5503.093,170.9746,High Value
MJ-17740,6320.746,1054.5529000000001,High Value
MK-17905,2302.368,-405.3559,Medium Value
MK-18160,1031.602,227.83380000000002,Low Value
ML-17395,2722.843,684.9162,Medium Value
ML-17410,2921.5,-76.17550000000003,Medium Value
ML-17755,2071.9139999999998,409.51120000000003,Medium Value
ML-18040,742.082,138.71620000000001,Low Value
ML-18265,162.232,42.6648,Low Value
MM-17260,1314.023,178.402,Low Value
MM-17920,3794.0800000000004,82.12499999999997,Medium Value
MM-18055,2749.881,-520.3443,Medium Value
MM-18280,775.414,58.8916,Low Value
MN-17935,2477.946,290.8227,Medium Value
MO-17500,922.487,59.357699999999994,Low Value
MO-17800,1687.0269999999998,169.34369999999998,Medium Value
MO-17950,154.288,-82.0074,Low Value
MP-17470,3206.132,600.2873,Medium Value
MP-17965,3983.6420000000003,638.1563,Medium Value
MP-18175,5087.92,226.4529,High Value
MR-17545,639.178,162.9363,Low Value
MS-17365,7443.6900000000005,844.9354999999998,High Value
MS-17530,475.65599999999995,84.0268,Low Value
MS-17710,1613.402,247.4348,Medium Value
MS-17770,3144.678,280.85839999999996,Medium Value
MS-17830,370.348,19.431199999999997,Low Value
MS-17980,855.116,55.226,Low Value
MT-17815,2890.139,509.0068,Medium Value
MT-18070,1319.4498,-23.676300000000005,Low Value
MV-17485,1560.05,189.0258,Medium Value
MV-18190,1734.574,273.8582,Medium Value
MW-18220,5341.900000000001,1238.422,High Value
MW-18235,5253.876,1665.516,High Value
MY-17380,2254.285,319.1211,Medium Value
MY-18295,4152.696,-371.7111,High Value
MZ-17335,593.606,85.01910000000001,Low Value
MZ-17515,2564.906,787.7503,Medium Value
NB-18580,273.87199999999996,24.788800000000002,Low Value
NB-18655,1972.599,117.6429,Medium Value
NC-18340,2461.404,580.3075,Medium Value
NC-18415,2218.9900000000002,-2204.8072,Medium Value
NC-18535,8241.739,1314.758,High Value
NC-18625,1821.742,-359.02099999999996,Medium Value
ND-18370,4326.139,353.64549999999997,High Value
ND-18460,2893.455,443.33680000000004,Medium Value
NF-18385,8322.826,-1695.9714,High Value
NF-18475,377.16200000000003,85.92779999999999,Low Value
NF-18595,2031.472,388.2131,Medium Value
NG-18355,1869.58,313.63349999999997,Medium Value
NG-18430,1395.9379999999999,217.0893,Low Value
NH-18610,2673.29,760.1666,Medium Value
NK-18490,572.048,121.2177,Low Value
NL-18310,1418.0900000000001,343.6381,Low Value
NM-18445,6459.344,2751.6848999999997,High Value
NM-18520,2161.979,788.9525000000001,Medium Value
NP-18325,5529.62,1208.8890000000001,High Value
NP-18670,3908.402,514.6002,Medium Value
NP-18685,1228.698,514.5017,Low Value
NP-18700,7903.1825,631.2282,High Value
NR-18550,2367.277,-25.148799999999966,Medium Value
NS-18505,2575.863,-12.303999999999997,Medium Value
NS-18640,2964.823,-234.7714,Medium Value
NW-18400,7234.014,1023.123,High Value
NZ-18565,2488.31,402.4236,Medium Value
ON-18715,1567.52,-5.88900000000001,Medium Value
OT-18730,3818.624,-925.1203,Medium Value
PA-19060,729.408,225.8588,Low Value
PB-18805,740.356,229.2257,Low Value
PB-19105,688.324,218.15970000000002,Low Value
PB-19150,1456.95,280.6606,Low Value
PB-19210,132.738,21.897000000000002,Low Value
PC-18745,1832.064,272.685,Medium Value
PC-19000,1061.488,-184.3364,Low Value
PF-19120,9062.864,-614.2943000000001,High Value
PF-19165,2770.0,196.87389999999996,Medium Value
PF-19225,2206.1279999999997,591.3118000000001,Medium Value
PG-18820,3086.907,137.46130000000002,Medium Value
PG-18895,1987.164,334.5163,Medium Value
PH-18790,729.648,47.8878,Low Value
PJ-18835,1220.09,442.1355,Low Value
PJ-19015,1824.2340000000002,682.9979000000001,Medium Value
PK-18910,1441.152,-798.705,Low Value
PK-19075,8646.934,2038.2676000000001,High Value
PL-18925,239.481,-0.7527000000000026,Low Value
PM-18940,1405.402,157.8768,Low Value
PM-19135,4115.662,526.7537,High Value
PN-18775,1467.152,192.0396,Low Value
PO-18850,7473.8282,38.47569999999996,High Value
